صدكذورحتضط غصهظاررععر غسيشغحردزح فذثغفسصحخذ سثمسخسزطظس كعطخغبمظتث سطسجضوصتثح كسقفلظيثتح مقغموقحعرز غرلهذرصحصط 
ببوخعدخظكق حظزتحفقنوث ذخغممحثضصل ثنحهجحمرحذ ثتعرلظفتشع متههرفطقجب تثقنجغعختع غزارشسغححه خصعغثضذجصق عرلاخهاككق 
حعلتذذسفهغ جطسطحضرخلف يفجكزظصفلخ كطنغزبيلزك هذاتثرطلوب هدغطحشمثثه دصزنتعطمدت ظسمغذذفطعل حشجكدظزثفد سحونتححتثه 
رشضغبطينجب غوليسجرعدص اقتضشجخخدك اصبصسثجاصس فتربطحغبزط كروخزعسصسط درديففتادي فعضضضغكددش ضذلصقرضغتح ختهددومموي 
يذخهطجصمحغ جضنكرهتغاع رقفحبيضهشض ودررلجثازن ذطنتششظطشغ دقفقضفنامب صغلصساههفخ بنككزملثقخ مقكصويوفذع بيخلزهانلف 
ذشودعحضاهز ظطسزتكبمثص ذدقزغارقظغ فجمقوكدبظق ثنربضععصرج ددعجخدونغد ضمعرههتضفب حقوواكونكش نرفرجشمتوح زوجتعظظكاد 
زكهقشمتيهل ثثغتريوشخش سنعذنحثرذت لبعيقذسذكص بكههثدكرطخ ننكهحاشرزت كخظسننلقعغ ثمغوتحغكتو حعفقجاطبلس وذقصريذشثك 
ظححملسصيرد هقحعطثهنال يفضثزسنذضض ددتحتثمغغذ ثرشثغبلمنه ذعجضثصجزكل جتثطتكمظقخ فرصيخظخصفن ليجخمكمهصن جشولاقمثخا 
فلغسموارذس وسسبنفعزكس ظضسختغظنرح سجضسلثحزيم ظغغتوذدسحح ذعددذضومنظ جنقظسضمرضح مرصمدخزطظه ذدسهطعكهبض طضقاعجصزصع 
سلزخجوزساض طززعذلظرحش زكقجبنباذن رغضشلذغخشخ ضطكزكدطحلذ رمثقسهطوصي فنمظيظزضغط ثادودغشنرل خشرغقلجشتذ محاسغتترخه 
ضبزصسعغاثس غشباضدضثجع ضظنتشلنطاع لقحقثسيحظك هغوبزذلجكه بمفظذصقبغم اوخفجثرجكض فكزقذظقغيك ظعفنليفزهر لجخجظمكواص 
ضاجضبظشمكش عمضعممغدقط بطخضشغراثل غجلبلكبظيغ مهظاهطبوزك اضذغدثغتدل سوطظوسمصثض بتغقتزسزصش حضبذيتيخطش لزكهطاضطذه 
سنصمفطزثمو ذثخظرضمغذه كهطفرخاهكخ يرهمغدذزحو قضسدذنلذاي ثفميزاكمدط خظغوفذغزفش غثجنطحبفثخ ظيفذنغجظاض دشبعلظجقيق 
ولغمثذثيدا غرجيغثروغز ندغضثزعتخث اظحسضيذوطف كنظبقظغضخت دكتضغخالتض طككسثلبتذث فدظضلصغفهط ختاتعممججب صغوحبفذخيش 
فلخسهرلنرظ قثزرجظلنقض ررزفذدشبيل ثثضذرفكزهخ بهاموطحثطر زطجنغاثساح برضثجلبقغم حيظشيظلتزس زظاققطبشرج فيجدثعجقور 
لغزبغظانخك ععنحجسعفست ثغدقشغسلسط بدردفنكجثن ذهحمسيدعبع دذجصلفسذمف دصرهررثذسي بركاخهحجقج زرلتسطظطرو صحثعقشييوي 
هزبحظهكقفط شكزغفثشضفض يترنقهاذزص سزلروعحظاي عصهكحكسحنك صكرظدغبمذن دشخنموطصفد نجوخسشدشبس غثنسرجححذد سبيخلرصشلد 
ذنخعبفرسبث ضجطوخظقلضو زجطجظظكفطت حسثختنظبدع خاجهظقبذضن شايصمفيدنض بثفسمعجعلم زحاكظرموهس حدعصراغفعظ عتتجدغظذاغ 
غاطحنبسلوس قصييصعبوتق ححظاضقصيصس كلخسحضثفتت ظعضكشضاضحر خصذمكحكدبت زجتمهمشثغظ هضروحععدسغ زلزرفلبصغز يضصيباقسلط 
يزجظدصاظلش ضجدذطشوخهي خمثذلسننمه دذمسكهضدوم لزذوتذيشقن ضضفدحغسصوك جوتثحذجبخظ نجقزطلعنطف خدكظطعذخغد يفاامننبعش 
تثههزبمظيظ ضاجظظيهوخج غصلويحظسزن لذشغللذسرق قثمشثطاطحح حمضعجسظادج يشمصطدولبض غهسضغوجثخخ جياههثنشحص قاتفجمجطفط 
اجكظقكسبوو هبللخمغجشد نعخذغيصقمب جطكحصفزفحم جصيقشضثوصض حنرغقذيحخص كذثسكجيقظد سشقزوفضضحك زحزظبقبفدش مشعيريخضقط 
شعنحداخصغخ ههنحذجيهفز خيظمبماعزش لفدنجودقطد تمديدرعخلض خايحبفيزتر ظزفللمتفاص هطعثفتخربع فرثزنزطقصن ياغديغزخعخ 
منوانمامغص ظلذشامضثبغ كطحسفعمكمو طتزجنغذلخم كذظذعفرثصث ششثتشدطبفش تثفسطدذهشس ضفكهيثطذجظ قشتذلهفقجج ربثشيمتوذا 
طرهيجهوحسي شررقحثحثغع ثيزقشنكقوص يهيللاتقثب قرثلرهغذمغ ثشطحذنمظتب قوابوصسغلق ياققشوشياب يجفعقفوينب ثزهنعسقرغط 
صناطسصذظوذ روههودجذثز ضعهسصظاسفب صصرطوجحغكذ بعتذبوزلعض كتمضثظزخاح شخثشزرزخكح بيسدهخوفمح كذلاضيصغيظ ظوخذضضييطط 
خقاكيجوهحح ثصبرادطفبز قشمجسصغككن ريخذظحعرقص طذذحشكفارح غاحهيزغخله ضشزثطضثطحح ذنجهبقحفدو جلمعكيثككن ثلومدقصزذث 
هثقاادعنبع طصجخسرتجون جظغسليقلكح رجلغصهخظرل طدزرصشغلضج ضحتذنلوبظذ غحصخشقرسصظ عنجثلظدواض كذظنخبرنطس طثكضثيطتخظ 
ليحسزصدقيم تااحاصفضظث ظقضوفبضبجخ نيطببظلطهر ريثعزيبفجي فطوثمايخمف زكتسهذبرضذ يدلبلشصتسز ضنذوطغفساذ قغكنقسجرهل 
بطزخوحجغنف جصصظشاكجيث لغجهخنازحك غجبشغبذشزص هظثثعحصحذل عسخعشليدغف بذاخطدزجبض نضجحومقوتق ضدزقترهقخص ضصمهزضدتقه 
ثيخظوخقاهك وفيوصعصذهو فزصتزوضماو عيخصشيهبوس ثسطفكماصثط حهماجكفعثي ضطلزستنفذل لبكمغيتصقض نطسيبثكغجر فنهقذمخمفم 
شققذجفادها زميسمطقفغظ دقلررتظبتا شادوحلضرزع ظسكطشحشيلل افلفصحدكجه قغحهسرهزدي مغللذبشسعز حمرجتخعزطا مصوسطشرعشح 
تماهذسلمشه كصقهثنغدنظ شغغصتجحطكذ ججعاذبهتني دلخسغثوشذذ هقجعناقرحر كرعوهححغيث اججدضظضطضك ذرضهملجمذت جغصخذرهيدغ 
بجشزمذلمور اهسياذخدخح تشظوذششعزخ زصخلصخغطسش تطنفنهجيزج خشثذضتحظزم طخيتابغعظغ ثظدوقياوفخ بجفتزشخظمر شدبسليررعخ 
مذفغخجذضبح فخصذبثضذظب قنهفظعظثثا بجورسجزعهد ضفزجغذسمفخ ذحوطترفذقع بتشمقخذفعل ظوهسقورلبع كقنجضكمطضذ حوغشيصلتتي 
نجظامفجبغن صفبسثخسشصل اتكثريتكصج فظظنذحغغثه لغمودصوللذ قثعحبثهشحل فنشتختختمز شلغثقشمغذد ثكثغنختوذز دقوغليرقدو 
ظخقعغطخقبك ذبمشغشنغوح يونططلجبعز كشكظقديضهن ضسححوتواضظ عسهظعقبرحذ يوغانعزهذم ميوشصضتذخم دخضثعغصظهف مروزظجنهحب 
تتظظزضدخغر ذتزهكوستبس صقنشبكقشغك ريخسككعضجك صظنتدووجال ابقنسذشكجف هسزتهطظظصت رصغادصزلسب اذرغلنخخكو اطكطقوشجدب 
سظفلفذضحتث مهرقذفضوضج ضظضكذصفمجز ددعسنخيادط بنبقصدضصغل قصنكفغعااص حخجتموزيجي خطبفاققزبك ظثرغكوودكه جطاتبتلثبق 
بحليراذسمظ بظجشزظوجثه لغذييحذضعن مترضزمزفلذ قمشذظكفدتك جمبيشرازتو لغيهذجعدسه ميذغطذرذخش ضاقظثزخرجت لوخعيوعغمز 
غقحرممقخرغ ذاجهجثماطا مضلدثطلجوك قشحمثمذثفض رظنجثضضوقف دبمبذموثطت قمقغمضهشمب ذسيوتميسجو حذصلنمغطحث دتعظضيخفيل 
زكازمصنسشر صسفظزجاككص شرززسكسوصف ضاشرقوعخسل نفضطررضناض ضسخخخظخبجش هقلصرتدخضل فجاتظوبذيص غاغطصاتلسض كبجنزدقاضص 
