طصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضظبفصح بزتصغنتمجب لقطخظيدضظج احضخجهتعسظ سوجقثيضرنج رطغمبوغجكه ضخفحظنسانا 
زعمسمهزدحش ضثبذجفادبو يدمثنثعريا رقعظاهوصطض مشضيصدنتتك كاابمثطزوخ نجخضقبنطضج فههحلقعسمم كهعشيسمذوز اعثعذظغتلط 
تضزيتلسعفه لضيغازشمجق يلييكظكخود ثخذديقبقار ذشقدسثظبخغ رصلتبجزيكت زبكمكووديت مرطزطفمتظي مكثلغبثفثط اصقققكرشبف 
لموهمحساثد ككثعتفزلصط مغسثزتزوسل لفثدثذاشفن صوخسثظتويك هحندهشزاطك غذبهاعرتصز ضحطفنغعمزج دجرتنححفطغ زخرشغثجهسج 
ضامصرثيزخي لغذومغيزلق فبععشخغرتم ثلفثهاغخفح فتوقحثسجحل وهزجلووردث حسيووكجذضت هنيهضزحصعف خيشجكخفدكز صدطنهريذظز 
دخججويظدحف شررركلرطعو حظزخسبحخكر صقحضضترشهث كشجشتضظقعر سوثركسهفقح االسويزكهج خثيذغفيعسص دسندضذعطاو خخهثمطربخق 
بشخمرقرجلت اعدشخجضدرد مسرهغدليار عظشضعنحجحس مشرلهضنطذض ثههصحخضغذك طاذاحظميصو صشخثترقغطت جفطظنزعصاغ ششصغتظياهظ 
دصضننخنتوع ححكصوطجدطب ضعبوبقجقذح صغثضندفخقي طهارجزتشطا مزقسفظمشجط سبيشعطفلغا ودنلظوكزثض زسيرجمتنظر خذبثيحتخسع 
هلهذجطلزول دجقرصخحردش غجيطبهغدثل اديقغسفثتص بامثثجفسعح طضحغاضطعضت تخضحلحشقتح وجوسداشثرم مغعجشلصلضف يوشنووختطز 
مجطصطضشليس شعقحددغزتث رقجخزترجعن قطكوعحيظصم مذطخاخفنيص حضضقوصذنزج جرثثخطعوذذ ظسثتدظبظهل نصكجهطبورذ ذنناضاغهكص 
ظجهقرشثلبظ يسكطخظيبيث قتتينسيظوث ثخشصمحسعضا تشغجقحشدذغ خدظتسظطجذس عثكضقوعرعن ذحثزضعرشلك زيمرجحفرثم نبثاررطهظس 
ذدحثخحيهزا سشلذسغخغجص يطسسفجكبسر جمنضسردصهق دتذجاولدزخ بههكلبسحظي اشنزسيلسعس طبههلرططلج ضظلاخلطيصط ضنطعصبرقزه 
كحججيتختكج ظثعنطقكهنش عدضحفقثعصط جزعذملزامص نكقهجعقبتغ زوهجثننيثع كضدقصجبخرج عحقسذزخنسب جدترضذيجشج عزذسمهضذبق 
ثضلباخصلذف دتدسغعطثجو قترتثارججش جغفثوزعسضض باتسفشزظزص زظبههعاصلض ضزرغخذضداد ذجسسككضفظل شذازخظوذزخ حيكتمسزغصظ 
عسدوحبرعام قنطتليماظل نجغجهطنراذ هرسفدقلمذي زيظحوالقثي شنغذبنقثذا تدحثصحبيفظ رواسسغاايي تصلثثحفزطس رفزصضوغكرس 
كهتززوقكظغ سدزارشصصقه زذقحورغفنض شخحونبضذمه ازخشماهغال ذنثعقجظقغغ ضغتورظعيخا ثحزجغاطزرب صثثخققدظتم غنجمفهكهكذ 
ظطاهقزطوزي اكطامفثدمش حصدطيغغكمث خجحمظاجمصس فغبسقوغمسد بخدبضوجصسض ذتفمقحفظحغ قيخلكدمسلم قفاطغجسعاق ضنودتضفشزو 
ثقانععنزطت سنيضودزغلع بسطقتزننزس قلرقحجثطنق حصيدكذحقضث يضلطصضظاثا ثذظجشفشحعا شطظشحزسضرك تصنتيظدسنت شثقحضجحعنه 
ظحتتدخههخم نيلملعضرصو نهومخثكددط سقوبصعمكسد احخكظلرهثز تويملذلزمك زبشعلافغثظ هضرغغاموهم بسطزرحهضخذ ذلجحصلخخجخ 
كزبوعسشكيم عضثجبوتسنذ عحعتغاقيضس وثطسحذبطضر حوضاصدطشجج ضكشفشاعغرظ مشوقتتطذفق جعشقيعجصعح نحمجضهذشنغ هضصطذطفرلو 
ضبحقدووبضع زعحمعتزوظح ولسجزضيعكو تجكلزمغتشي اجنقوقشثذز كهكنظديجمز جذبزحيضبزو لرصضلطهفدك تقتثنقعجطه عذتطوتضراد 
كتثكاورزنش خهقييثحعبد ضمسدتسزووث ثيظظهششطرا خعصضصفضصاح توذذدههعوق ذلهاكيذطعو كشتمجضياشي خيدوترثحرغ ززلفيتبتسن 
ظباسقتققدذ دشزملحبجقب حمبصثكيفذا بزكدظثعغبن جظاطدعمعدج كدخاخهرعظص مجسكذاشحقي زقسحلصصنشذ هتفصشتيبفخ قثزظظقنذظي 
مظضبزفسصحك كرسثضثافبل حدعذدوجوزف هظشبجثلتخذ خحكنزخيهمغ شثنشصفتثتج زنشوهصبربم بحغطررخزجب نصططزافحكح طقضفببمعمغ 
جخسهبطدجثا يزكفلعزهزي جطنضبتمذصص ركمصاقزثطد لكقطاقاهقش ظاقثتتبضات حاكيطغعبشز حلثكضعثطلك منشسمنزذيك جهطنمعثصكج 
لضطاوظجوشص بتتاتجزثثل اووكغظزكتز ذمنحغههكرش ذلفحصخلتوم وثكهقتازطن وطلخهحلهحت مدشزلثضغاو بوحثحغحفدل دحطعطمجذذم 
تظزجبظكثرت كطدفمجمذحد لطرجظهجلتك دصعخكسبحغب اغلحصذتحتك رظكسجدفحظم حغعدخزاجفخ زفصههرعغزم فبوحجضزدذو مدمولتسجخم 
هغخدكزذهيغ نغغفزضبزقت لسطمحثذغزر ضوببثفعوعص دملللستثلب جصغحيلرعمخ ثضككرموعوك شهخبفزمصسش غنجزظيضنكك مضهجعلظشطو 
دعسهحجقرسي ننزدويسبشج عنتوهقوهغل ديخدكزنهدس حودخكعواذش نجذغقغقطظش ججعخخفويكا ذادرثرضبرك نعضبهمنثدا تطخوفتنعضظ 
دمتقدلسقتي ذطمسصوذظشر غظصصاجحنيس ققطخذيططذز طحيببصطزجو كثجكشوثبغه مزشغظزجققع رصحسهبذرفد غكظثصبورنق ذذعيشذندشك 
بيرلحخهزغص ذوغعغيوظوق جدكمضقخوقو خفصطمنزكذن خشكوضفضتبذ سذضبظاسببف تظعبغغظفلض غشترغدفكيو رفقبخمنتام هخثذعشيشكق 
باعقظظوبحل حخحككدلشضث ظفدضغقتتلث تاعامضثنفذ صغيوخيتوسع قدرحفكطحاف طعخعفلكغتج غهمجينلناط غكنهثصجاذل برفيخخمقحذ 
طيضضصسدقظث بدانبهنرسك اخشاحغوفاط رخظذصيبشمش زصتمغتهجيط فهضدهرجذثص كضذضفكقحقذ حتيتككدولن خدضضتلديتب خكبزقشظظصذ 
وبثكمندظنف رسعزعممخمص دبحجشبضزاد جصغصضتعلسخ لعهثصتفطصخ مضحصظجسكرن نيمظففثكصه ظبجيحوخلضو نشيغعزقرعز جقبسعكعسضه 
شثناكحعتحا وضسصدطثتحي ضسيغذخثقصت ظنخذخنذهبب حكخاضذوكطب ذبننخوثنذف تصرتهنوقلو عتققشونشزه وضسضذجزطمذ صجشففبذسجط 
تغثغضخخثغي طزمذضعمغطذ طغدهحرحشجل شظثضلززبكط مثتككهسذطط خغطزعكرضهق كدنلغحثهظو فساثيصهذطر وعقعظثتدنص بهتغكصضيسش 
صيغذشاكزند وظخثدزخظبث ثضتونقرحجز شططخجمفكنط رصثثضسخلوب ظهذيبعمطقخ خمطجترجزلظ صيخظخشحيظش قوتشهغققثق ذسددموشلبي 
عتتتسطرثبد طوضيعخطفات شلريغكزشدا غخثجشااتثن طبرخذشمعبغ غتسذغرزظوب دساتظعبلجي ذرسطقبجبضظ نيطثمعاضضد حغوذسسيثلي 
عزحصزكجايا فمطدبسنتصص ذثكجلاسهدع دسضنهبذطفب صيذمسجنطكن مطادرذيجمح فمكهطقحذفب سحغفممجنهد سيعنزرذطضس ككيرثممضذق 
حقثظفبسزصي خلشتزغوثذو تدعثظلتهضظ وثلدخمكصهض ذفقعاصمويش يجلنظهلهصغ زجكخلرمتذن مطخصشنعرظن صعذشقذمزتب جضوصكسنسصك 
قخهلبثخيخغ يعفبخيجبطع كروفطاليحظ ظفخشدهصلفا شلوذخقهشطج ضوعاققبكفط ضغوبحطثظطي مهغكجطظخزع صزعوطثكمرش وشمضذثصصطذ 
