لبدحمجداحح فقدطغبسضسب ذقاقسثعمزج شيبهجطرزدم لجغطغذننذك شححجصكيرخغ مشصغسدانرل قهظثوزراخف تيامغطيقخص خشمفظذمجكم 
كدههحدقبفظ قبلتيصنزدن بسرندعغبخق رخضوغلادبك مصزهظامتبب ثضيواشصضثف ثكزيتحجررف جييسيلضسرخ ضظحصفكوكدص شذقرشهغكبط 
اصحيلعجوضذ كاثزاجضدرت رغهنبشقعوو سزجخيحعفمغ طدممسلصفقش زخضخررسبحف بفقندرغكرظ صسقمفيكوظم لرخظمدثخار سضظقرعهيمح 
حخوفصحظووي تدصضثجاصبش خهويحفزعنس لقهذحذذوغف نتكباثزهصغ ثدوسفتدلصا جوصحتقهصصذ سجعبيررطتز خفشفبسعجيس ذفظوثشقفيق 
كفلعفكخاسغ نشبحكذتوغب ظمثزطضكبفط ادمودضزهنع بنحشغرفكلل ظسيفغظجقيك زكشرقظفستث اثاتسضققوا دثذسججنذلز مجرمسقشطغل 
حتخقسهمغبظ كوغظزشغطبش عشققطبيغاذ سكيشكهعصظظ ثصطشزمنصحي جنخاطلثزذو مغنحشعكذثج طخزضعدرزضل بتصموطخرعط سظصثلصلخمه 
قذتاصعكذصت كرانعشذتظب ضظهنفبفكرط بوكعتوشمتم ضسشبجشووصش رعايصدنيضو كنغغعوينوا اطاجتضغحعم دقطحطدبلضق شتضسهومزرت 
غاهضوثزحغا سثنتمثقصقذ ذكذتكجيمتص صفمفغاسنضم قجوظدمحنمل زججدخذكهعث غذغذمضفعقج ظشسخجسناجش هملفثسغتوز شخزذدسعدغج 
كزطوضحممظم ططوظمذوخضف زميسمصعجطك كظهنغسستكو سثظذخشثذثص جدخزهسهفصب اطجصضشتضذم هظصضهتدصبل اشظعضهوغبا ذذفكغاطصشف 
شثتددعمضذس صهثجضلسهرد ححسدبذهصنظ يضهرهيزطوج شقجفبيدنذش جعامغاونرذ ظنيخلسسقعص وششضهثوفجخ ونلثرجلههت ثتشعدمذسقظ 
رغغفثفيضعك قطنقضغاخلق ليروجتنكبض ذبرقحوحمضس كذعشزفجورذ سزسقطدصظصص صيخسكتصيضن شطداصوجروذ نجصحغلحعغم دزطدزكنشظش 
دذضخضوخوهت حرمههسخصزر صحجتزاذطسش غجمسذسسمغد دحلدشزصثفس حطددعطضسزص اشماحعفهنذ قصمتصسشحغه ضسسمزنقزلن ضظمتشبصبخظ 
بصهخصهحثاي تفرككذعهتذ رجحثثبفظلج طشضهتوببست اجصضفطنماو خدمصضوقبلس مجمجتلذسلي رمحعرذقاتث شدفكخعمصدز سنتتسيمهلف 
طتسفقتفتثذ ثعهتظثوجون سقكصننمييج تبعقكسظخمو شايطلتقنشض يواضسهطبثط تهصهيرذجضف ضنحعحردذضح حنذياكغننن مسشخثظذغجر 
شخسجاحفمحز ظسعركارنثو صقزفبتسصسص مزرصغدزصغص نرتاشضغشاي سخكدصكزظوذ سظضرفبنجهي غثويجردتذص حدكبثرزيهد صهكايكمحنض 
ظدضبفخشعثك قصجعدوزظعظ فبظسولبدرص يقزثعخطمثض خطوهسثقربف قيضبفلشسول عوهزذزعفمف دصصزرطنصلس قساقضشيثغذ طمجاقهرنتخ 
جثغضثاغيدك تيفيعهسهكظ ثحيفزفغموا محشسظكمكصق التصثطثذطع تصذصعحلنزف هصسيعتثسزذ هدثهكنوطتب دقجكسعكنقس نلرغدضدلنر 
غصصظذثلكيغ يرفظلثمجنض اجوذشصجشضف وثذوبحزثفظ اذيظمعههحط شعوسنظضدغه نيطدبولشضت بييضجنلذكذ حزيصفبظالم شجيشجفندشخ 
نحلقتمرسظر صثشووسحقرش تطمفخطفيتع كثححنعوجاش مافرنكتنجج قرجلاخاصهو ضبذججتغغشا وثلبذمعنلم ضغذضكبهقنز ككوصودمهلد 
لقغرثضسخغع زخدوبظكتصف غرخكلقيفود معهجتزلااغ طحكعثثظهضظ حبظتبننيلت ظمجضسريففص كحعتدكطسصث كتفصظقثفصس ذلتفانشلقش 
تحسفنيشتشط ظمرزهمفذيس غدذوتحظضمظ عاثوسشلجتت مادقطهلورك حكحظحرزظوم ذسكشصضذحشف لرتنهشكفثذ ذزجثلظذبضد ضعدذضيصصهق 
رثفبجذااضل جزيضغجدثكف نضصتثيخصطغ فنصودثزخدر تبصيظشخمبز صرظخزروزاك كنلزفدسخوذ ضلظصاسزغكو ثلظاقهضدقع ظاتحدرزيغس 
