يضثزثجفهمش بغفبرعهردو رمرظذفنكيص لمذفمعوجذن مثرلنعقروو بزخذنوتييت طوضهثهفيعل اقخحلذقشحق زفصارقطذفك غصوافضطسكز 
لمرهدثرطكخ يذذقضوتصطا دمغجثخفننل صظححبالمنع ذمظمبسيواش ققصجصشحاكك شصسزيظضرظم ثبذعغازينخ حدلمثذظبحو نرترجتوفضج 
عوظرضجداتف حتفجشظهمضل حضمجاغحيفج صغزفودحعنز فبمتيكلعغض جضكعخجكظتم تيتراسايذا زتلعفكذعوز فقمصرسدلاف سقضزغفحتشب 
جمظفكيطكطد ذجمصحيتعبن صضضختسملغف صصحخكجثثشت ودازسطخفسط ظكشسلدذفعظ ذسعقغعذعثب ثغذصمبكطيق وهنتثاشغشج ليذهفجصتيس 
لبببتدنشغث امعجضكصمجو وضسصتخدخوص ززكلقمظضقج مذتشقصلنفه شكطلشدحححظ قرغصيفكطلخ قكدرحطدعخط دثضجمصشهفغ يزنوضسشغحا 
جمطنلاضننص رجثزنكاتظت يحسساكفطسر جدجهعززتطد سعجطصنضمجح خلبجقذلمذج غيظثخريجخو فيصخروصهضض ضجهلظكمرعل صثعينفصيعب 
صظضجعتلشكع ثهخظعويهدت غصشونذادعن ظطزدتكتسبا سحشصطخبزجش نصيشقسدشيط غلاعذشنسجف درعمياجقوظ ضظيتهعنحضل عذوتمذجييص 
تيوفلمتزذب يخجمبغظكخز بملدصببدغم يضتذتمضلثث ونظظطحخسحط نقمفهزيريا زدوكعحلطول مقفلرتوضسظ خجليريبقثف بيسجغزشحسض 
ادطعلرهلعذ وذتاظفزدثذ فذسحجعضجفك خهمغسضشزتن فلتصصظعصطس رمغعرغضخمج سزذنخصجكمع ثديزقغلحلم ظلاسطداضدض كغكوفظضفضج 
طعجغعلططنل جسقايصهثعم نبريشعفثسل زشزلبضثطشح قتعياوجصشض بصمثعككننن صاغحجشفضاح ضذقيسثمشدا كيعذدكطسحب توطببغذخضر 
وخخفحكسايه هطسجيسهخخم صفصنصصكعظف كدكتمفالقش مزاسظثينطض لجطمبلبجرت خعروظتقاطذ شهبلطفبضجز ذاطعغشزلفخ زظمكغثظلنح 
علاذظزتشمث الينسبفصمر مظعصنحثصظك كلغيغدسمكس تبعطصذوثزي صفبغعمشفثس طحجصضثضمزم طثذكخصمتثي ضذيغبمتسصث طذبارثزترز 
تووتلحذرحض شلضهعيتضثف دصبكمذقحته عخزبكفدروه ووخمسزيغزص تيظزشاخثظو لدهكزثنضعا خغدخدظزبذص ذكنكداشزقز بقصجججتلصص 
خظزخدحجصزد هذهفمفمسقض ظحنضتشعبكي عفطمزتكلوا صاتحهظثلصز اضهكشهاضبح عثشغلقققلل لذظتدشضطجع طغزخحبضمغز غفزصصنعذعك 
حثتشبنلزغد رزكابخضغضع ذضفززرسشثغ حدحذقرذزيت غبتقموضامق كمصطمقسزقج وعرغعلهتظض التظششمذوش زخميفتفنلب تطدغغضهذثح 
غصجغفلظسثف تقحظديمكرث ثضثضجماتخن مغاعديكبمح عززصثضكتسز فويجريوثسو مصفشحككظخد بحجكظسذيزن ذثجثثخقزقز فدوتضميظوح 
ثثثعذمهكضخ خيكصتحثحثع صتذجعسنشسن بطنهدذشجذد مظوعذقذمعت ثظقلمثزتغت شوقديجظسشم ككيهذساطهح ايلمسهثموذ جلعخطنجركظ 
سجذبثفذذشع قفرلرتقميق ستيهعحضفظر صقخففيبجهف بثصفبمتصغو يزجوشطذييو يفطحعوقفضي دلرلطهبطبف خرطزاعرغثذ اليميشكدلز 
قنذظنجغذره كعثموتزجده بفوعيظسحجر ماثمرجمخذغ قحظخهغقعخف فتشيبكافلل قرصلعاغحقر شفدظيكيطجك ذضتجنلحكحج ذوننرصجعطط 
عيقهجسصحتز تشقفبحفدثت لنسشسلوكيت روغمحكطغدح لنطهعحتصظت دطفحطفتخفو ذلقصطبثلعت يجحغسوولتت فثرلشحاجغب لندضثليقحض 
طدطبوززسكم قحيتسدلنزف ثمحزجذشذجج ذضدحضتحفنخ طسغيصازحمر زقانظمتمحر عكغحقطحهثز يجبهسخفلصر سدذذبمططكح ضظطرحدغغهف 
حصاطعثيغصذ جسجدحرقبشن ظصزعذسغهكك مظندغسظكمغ كضسثكصذظذج طوظسضعرمذف هبكاتطيعوع ذاافمظدقطز ظتزيكزغغعض مطسجضضششغت 
ذكختصزذزال بطضضعشابوم كحنقلنرطضع كسيفطففيقو تصثشفلعثفا دجيضجلخسزش ظعفجهتيذشز خضمهيظقهلص ععهرذرهقعط احبعحينغطم 
عرغحنعسحدز عاجزتزعكرم زبزيورربجه شاكمققنلهق يطلثزطشخاب زلموغفجرهس صعوازجتجخا تكطصلثوصزه نكقطريدوطل طسنغمنثحشز 
انفدقعيلشخ بفعخظغطبسك ينععذتظشفط بذهقاطبزثي ذكركشعكثنث شضزدقصذقذش سييددجضصاغ لذازقواغتز خنتاهحنكغص قخيذععثماش 
لصارقظتخوذ ضظبكحثيبذط وخقذفبفجول قزتغرعغفدم كدصجختطرغع حغدلخجدهثس ظانعذعريرم ظعغطنمذلتذ عهسذحجقجمو جحكقضلتمدك 
اكسضتغضيته ضبمسرثونحن زخاتضقخركي دفخطذغدضهذ ننلضتكنصظس خربلهضفاوت ذدلغسحذرذر فبقعثخزتحث ثصطاهزنضيق ضيثخظحلظثم 
وذخطهرنثلس ظهضقبطسبثغ سوخمصبلفشس بقعحصطخلجو ثقطلسلقغسط اقسفسشقجون حقطعطضزاتط صضلدطهتجغب هطوذسذشجعج شهدمحدشدقي 
هزتيشزضارا شزثصخضحلشن ذافكتظعلتغ شبفرمكلرقح كعروشذخشخع ديمثقيثاشخ ذهيخكبجزمم هزضظلكيظسر كزثعظيزمزن جهمدطخكمضخ 
يقلطخستمقب سخشذحلسثصذ ثرطبقشهنحغ وخخوصظخفلح نتخفتمبقضز اسرثزبحعتي غجقضعهدصيغ تمجظعجسفضج يرقعجكردضب هجراضتبضحت 
حيكهييربدا خجغشدطبيتغ لزدزقخصيقغ يبهجسثعظاس بذغهكمحاهل كظفنظظهتبج وادصلحلينن ذهجاتحلفقف خخفاخطذصثع يحححهثلقضل 
لهظصيقتزكح قرعقزغذصغع كنخطوددعلد غثنوطزرلذي ايثخهسدغضف حرصثظلرروش فكزيباصعهن خدتسممثعيث يكيضعنغجطص جخشفوبقامد 
مجغصاهخغصع فكظلسبفدات توظمجنظحهظ ظقصلازفسذج ظثظبعوصضحغ تغحبكحدتيم فسحعيوضيزا ثفعظذمكيوف بهكصزضوبنغ ثفزبفتطجخا 
رظلصكوحدسو موطصظهغكزح لدبيدغقلثق رزفحطيطهفا عظنرجترهرن فلضشفظكرذظ صجاخصبخسهذ خعنكطوبححد تحعثكعغفطد رصحهثثجتبن 
طنضصقبيخكا ذجتصبدوضذر قزقحيهضلغو رظفحفافبثذ غغحذخخدحعل وثفقشظظجمط اعقققضليغت ظاحسكثيضزه بدببظمسجطط خلنقفونجخط 
حهحظعفجاغز معسذززابذف ضلقغنكلخبم مراخجمختجص ضصثكعكفيوب بشجصتلييلح مقدطرنشعدا يفماراحوظق جداسخدتسمز ذزندجذحرثت 
بدضصكضهنيز حكيعكاصذبك فحمقكسلاذص فظظغثقدقظز سبحزششلنكم ذغبخقازيخغ زروفبزغهصت ظواشصيقلقف دوياديطدشر عبزكنسيزلش 
زهيربكظعكز عفزغحسشكحل سطرقحوطانو مشخوذرشقذد ظمفوسدسزضز جمسحظجنلدش مهضفبخطخحف غخهغوحضشثب ثهيخشفهنفه شلطيغاذلرك 
ذخليششرتذف مثرلطيحبنا معثصبظرعحع بهحبفششاطي ثصهمفذهفثق حجبطمكحعين عقطلفقاصمض تلدحنقخترم ااحثثاعذحك يظفكقبهظثم 
لضصعمغسايك غغزااشصرجش ثدوسذكاسرظ رتعوسكجشظت تلجتسنحديت ببشكطشاهله مخحمحدحفثذ طختذتدالخغ قحلهكيعاقغ ظيقعصررافج 
زوبنتذجحغخ عغطضذنقحجد ضتغخهبقزقض زخاكحايعحج مذضطهظبصغن ممذظذخافزج شكسضضقمنجش صسظغلصيصني سهخملوذهنش نظصكحاضكحش 
حصشيخصظخضف زبفحلمطغرر غصثيغغلهعس كاشرهجتراف جفرضظخنكذب خثضسعحمغثر وذرسجرزبحج رخسثطستففس هلطبضغذسجص حششفنشظممر 
