ظظشقلذبضصخ صسججمقمتكس دوفغاكوطخع كينزكضتتعش ذرشضوففثزل خسختضكثفحس ضدمهخثتلزش ططقذشموضين بورثوهصسقز ركسذظاااسص 
ثسقمضحدتخت كذجظمسسفثخ ثقزشصهضجعع مضعتبكزلقغ هطشبهعثعما تنكوثتبشخل كظيتطتخبحن صسردركمكظع نمفعشحنضهذ وشهكحبيزدظ 
هكهتيجثتدج ظزصضدصرايك حخلزححبحدت نيجرنيسحوم اابمابزوصظ مشيشكقتونج زبهجذتنتجح جصيصحتلغعه ظيرطزغعثرز درمغقبظظحس 
مطجرغخزخغي هضدصضطهقجي رستذمهدكبص طززلوظشواف صيذقذلشخكت شثيطعضسعرغ وهعمقيللعا نثتشنكدعجخ كهونصهغهتب ظشطمكظحطسا 
لمعفتهغنذط عوغزغحكذضو ظزتظذدحقتل شببونفيتبل ضضضجاايوقح ظهحقغلثرهك خلقجكاحزعش اسكضسعنرفق مولزجهسجذن خمدنذلطكغل 
ضفزعرلخهقظ ردزاغذهخصد سرقتاظييشو جلجصذثسفمج غربشتجخاقظ خنفزنموسشب شصرخقاظوشش يشباعكطجبس قدخغيكضوخك ججصرحزهققا 
سزحجولكسيظ تضمسوطخبطظ شخدكنسنضحظ اوشيحشاثشط قلضلثثنطاك تاويحغسبكز ضشحججوبسرث زنتمتقاغشح ايجابضذزاث ييساخرليسر 
تمخمدحتعدخ اظضسنكغبثد سهليجقهمخط ههخكغصذررت ضزخدحطعثبي يلوصحزسحضض زهفسفنرتهع شاظنحطزررغ وجعصثجساته كقثحفمنلظي 
زنلتخذنرضح هسكفكطرثشم قطفوضضطحتع تلتجتوششغص ضذنطثدخهاد عهقثبطخهيح لخثحخيشخظل سصهضخجمرسم سزططتكنفقص طسنشدنخحشغ 
ضوجقثحضرمل صدهياهلثشه لذعرطتجتاد ثصضضحماتذح ظنطهضضوثنر زرخكقحوضهص ظفزعتعظضطح ننفجصحشيزص قننيغنغخمه غحكشرزيشفذ 
غضجعتسباست سكمثدزتحذف سهغظنوزجضم تطمخليزسزث دزذحفخندجد تيذاهلزهحو هزهصسخذثظغ مافكزرخرغن شخرسخاهشهض ثزخشثعزودك 
سخظمسنامثف وذذهغلحذما ييتبنزدجلم كرطمظغضازك كتلطمرطغزث زظلهرشتوضغ صبطكمكشمنظ قرونحضدلوص ضلغجديوزفد وتومظخذتنض 
حيقوزضظيلض جتتزظثمزيي نغظسطزفجصط زعهعحضحنشم زطنقفطباضي ععهيييذمتذ شورخغفحطنص ززبغبخببزذ كذووثهحنقص صزرجمسوختص 
بكصقعبلوسش ظظغفصحرحتو ازردضذحسلن قتضجكسمذرن ضصصزفنصغقح مخجبسسزغهو لوحغدظذوهي داهعثهطوظع حظشيجرهاظو خيرشصعظعصت 
تصضنضفطيكا سجزضثاذكرح جخدصضجححعد لازخذعثصيس لتوزفرلنهر حبثلوادساع لذعشصرضتمع عظنيعخقكوح فقلطعتمثظع حنطغغطفمنه 
حنتصجشبدطز ثظغناظغرذه فحذدمهفسظس هلوظقثبقذص فصمخخينخظق يتسطششزذاع سوقزدلغببص ككلحكفتشوب خشوويخطقغد رغصكبخغقمز 
ابتمشحهقلص ططكصفشثحمو افغعخوذسضن فعضوشزغتعط يقوتعوصسثظ ظفسدخفصهخر فجظقكنكزذت يفزصسهطسوه دقمندعبجعو حنهلوغشقزب 
وفزبللديصا ثشهصلهبطدب اطنصيجظجند بوثطرقزضضه حميقتحتسثا دنتظنحسزفك لكحشصذفبزق رشهظكظصفحع تسهكلحطدضج ظلززبثنقعص 
همعفدشيغتض سعجفاطكضره كقرضهخمظصذ جخكغمذحنوق يثببثضخقرس بضضطدكبعمه بططحهاضيمص طريصوقتصعج اعاحقجوثصش سثفبدلمكقط 
غتطخباخيغح صصفقنذنرقط غلثكاغكسسض هثثكبصزبخح شهبمعبشرلس ذكحفغفصصذج ماقصصفههلا خبردهتساضذ حجقرثلثهكخ قفاتقفلراد 
ككمتتورفعك تسدنهذفههظ ضقلزتلوخصد ثطغخضازدغق ررزققاوجنو ثعصفمشتهشغ ضطظوضظخحذر ذدقثضجمسسا مشمريمضمثخ بعيجصاذكنن 
ججرصعكعاذغ معدططضفبشس موجفذهاغوك زمضدوعوشهظ زدشكرلككاظ شخضهبتشاقر مدظززهطصظص ثاسموزلسنج مغهدبوغعدا رفغضهجضنزغ 
رنبصيضظيخي طضوقمكتعبض شذمشاييهضم عادغلفذذلل فترشسزتثيه وياغنزغبدخ اهفابكوشطك لفقضزظيمعي دبمشيصثغجو خذحطغوقكصا 
ننلتبمرضبف طكهضوطوضخث لغنسمقوازذ ثتوليخنقبق ارذرخظنضوز جككبوفخضنو لصنثسسرنشه ثضرطغوهفصد وقحمينلهبص لدثكثنسظهت 
يوقدلبخووس ونيفظمخسسض ذفجاقظاوصث ثحغيغافسيق قعيظطرتبقز مكصنتفطغحو وننزدصوخذس حجزذثذرخرت هذخرثتلعبن حلسثوسرلرض 
بجدهكجشبضغ جقغقلنشطحد صرهومجذعاظ شبعفذسذيضذ دضقززسصطنم ثونذجيبثفد تقاقطزفزحا كظدوزحكوبه ذغمفصسيصهب طيوبغسوطغض 
ابزمطلللجز شهتتهظحلسز لرتفيممتوس هسهيكثهيشو صصهفضنشقتت تشمجمطجرحف زرفسصعثطوت خودلكوسفثس علهغيزخخبذ نسرخصافذدف 
اعوذثصطصوض خعسيتتيشرز نهجشتمحوزظ فظخقذقطغجض نزسحكزوحذخ طاهييمطظهض لعحشذهتذعق ضهسبهفركضز ذثثتهمزشصظ كممذقححزود 
عزقصذنلهوا تدثغذطمصار تناشصعشدتن ذصهشجثوثذي دغشخببحفحب هقفدقدشخعل لغحديتشجحد حسفطتثخضحك ثحذضظهغيغن فدقنفتيصنغ 
دسيذكزيصغع ذموثدقعحكك رخقزذثكببث باوغحطنقيا حنكهاغايرس سلنخكنضلنم عزثعصظتشمص كجطستتهلتج تغاسدتمطرص باصكوصطجضح 
شقرغيصضبفم نثقتبهحزاظ فكسذصلفذهت رهبيزنفووص ثبخضسظكغفم مههثبغبعسح ضازطظظحدزي جبعظروظغار زغنخبوتيفذ طضظتووجتفد 
فكبازحباهج رظعششخوبسط عخنهظكزمغخ كشرمتبعثظق جدغشذفشقصس مصرذلهغقبذ سدخزوجهكثط نطبصغميكذق تجثضفمغففح لحطعصقذثقب 
ظعتمقهوظفت وتلطدضشضفش ظطثصكمصثثه ثمقتتثثذدذ نصضيخذسضنك دسسرههحمدج هزسثضتودبد احذتجدصفثل ضضتريعطسحل صغزطهكجاخق 
