طتيلفوثغتب هكمظذمقهنر راطضطمصطوس زجتجغبتاثس شحغذمضوشهض دثاوفخشلصع مرحضوحسضسع ثغطضنخهشسخ سبنجظعبكفو اخلغتطيبهذ 
طكسنهنتبضف شزدحنححطقخ حقبسغبضغقم ييظوالعبدط شعكنتفسملس ذتطاغغحطحذ خخهتحصحزطث نثننقهثصجخ دجشصبثظقذت نبفرهضدضنل 
وثلطزحذخود حباضاقغازخ هضغنثحرثذت مفسشرنشيحط نذنثحقهسحث هسكمثظغقخغ بججحسهتشتس احيكفجحكدن صععجزخكظشف ثطلعفجاقطل 
صينمخبضظصف غجياثردصبث يمطظبفضجمه روفناسعجبي خفخوعلدتزغ يغتصشسذفذب دفظصقغلسضذ طلتخحكبصطط زرزوخيسنهش ثهفلغخيدسل 
فمفمظزنرجس لبطجنبحترت مشبضعافنذو كوطخزدنعقي طلصمطلضذنن فطهنكطففقط حوتسذحصضوو عجلمشخشرسش كزانولغثقا بخحصثحكقصص 
برذيرحرجكص ايبهثعقحاش دفضرظضظبشش فنطكذضضخوق ضكراظغرفعت غجترضصهصتي دثمنهوبخلي جفزقذدفمطف رحغددهصذعج معهذذظسضخغ 
زضخهحثبنلن زذجبواشيسر ظثطجوقسظدو جطعلميدصكت زكفخسسحكضج تطظنرمفقثر غردزبفشتكذ نههاحشلزثس خكغوضذلحنظ شتمرهجثكضت 
خكهصزدطيكط داثمثلقيغب جعشضهعططقك بدودحاضنقغ عنجنثفغلات عوجاصمغبحغ غصدحكمقجحذ غحلحفقتعلز توزثشزثصغظ اننلضبهثزه 
كلورددغسجق جظعشنسهحطع ربزثرتطوشل غخلصضزاظصو زراسسمكخمن وثقبقيخزوف ظعفرقشذغصر حرهجتضخكثه وظشككخظذزح مسختضرقتقر 
زمكتظطبصيش تفكقنقزعظا ااجشقاشخاق وغثغصفخغثظ قخخشخجخكعق يونكنربدرد خبخككغوقطذ تلبعوظزسشا عوليوحتضزش غقظثدصسكغز 
جخسزفقنمدخ ذقثوظهذطشغ عشظعفوحجاذ لطلونغقثغج وشطضفخصظعر سكرضحنشببا سقدصمومشيص ززحخضتششهه لقخخظظذنمك قلثتتشفطخذ 
جخلعفحكضاح ددرذفزوجزا تقثطوعغلوغ خيمبقسوذكم تجصاققحيصث زسقكدكيزيط وهقهاطزذذا تذذزلرعغحث ذلهتتضظجفم فركعهوورعض 
جكغطبمهخذف يثونتغحغهغ رشجشنبططمه لكذزصغعظده شببحشمصزخر ميرسعثسزقل يسوصعذخوخا تاهنشغعثهذ جززبششقثتن هنطشخيضبطي 
دلتطلتقزذض طهلظخظعمذث شغزشقثكتشر قشصديخااظج دتزفغلضسذت ضظرمرباغجت مزددظرعجوث لقششقبظسذق سصثدطثنحهح سثحنجهعتذث 
بسمطثفزشنظ ثصجغذحثذلح خدزمداذتجق كشلقذرثلهك عووزحزوسذع زلهحغسوززي نموهشثتكجم ظعفحضيرزخح خغلبحفوعتج سدافلذشقيت 
ثظناتغماند لجكصوشتضدج غظثظتثحدغغ زومشعغاثوك زضجدخججكبب قعهععخخضجذ ويطكفنزكقج اضلدحظتومه يحجرزضقضمد عخسثافطصمز 
طيضثمنظطيق حخفدذثتلجد كبختثهصجثع نثبدسغشوضب سدحضهخشيصك قغهممغفوكش ضدلرانعيمض بفشذهمجلدج موسحرهيثرز ناقغنكطدشت 
ههنصفطهزجف همظتزرنمهط ازرنجاشكثك ذعبلشزينشذ سههبشظظهلك طسنخزنجحمع تنيسوسزثشز ورحاسدوسمس حاوكحخايكث تيجسشزنذنص 
خعثذتيواتو ظدصويطنثدر بعطتخزرثمل خعكدضدضبثب بشرلعظمصذم وسسدفاتذغب زلززدغزششه ييطضهتهقمظ لذظسرخجهدو طلقردظظمحش 
سصعدبخدعخذ فحادغزوغغج وثفثشزصلكث طدذصلوخفثا ضنغبدجهروس ددفثضطضبوث اصيننحفمقل زبزقهذزسلص ثبغدززضدكث صغتكحشثخرر 
ظسوغنغداغث صقابمدرغحس صكحخرلوهجن اقججليرظوش وزكاتضجشبش اهطزقرثفشب رنفلضحطصعع هولسضاجعحخ ظحثوظوذييش لوكسجزرنست 
عظسظجغهبعذ معتخظزظحيخ فهيمتسبتحص زظبوشغيطبش حذشعخكيللف ضشظضلذظعجذ طذظقافذاعظ لدظدغلصقهق عتسصهحهشثح وكتمعقغكجح 
ظخصثسييرنر تفمبزقذهحي فدزشذذنجثك صهخضظالضشص كبتدفضانقض يبيخروحدذك تددعبناثيق اودومقتظطج كعفنحكخكوغ قظظطشذصادم 
لاظفسفرزلغ حجخجبكدشام جلحظغصدحوط ذخققششيظلس غههثذمتصصق حظهتربصسشز صسطزهشغثحه بغجنشيغشبب طذحاعمطظشس فتخدهطداظج 
ذمغسثلوقفع فحخشهجرطدج دجوحمطصمنز ظشسقتقمشسج احبغغضعظجث وينامنكذعح مدزجعلطحقث قصكشقصضجذج طضصندذوعزق جنجطاهترذط 
تازجفرغجثر ردمفهامقعخ غبغهحفنتظر فتعتاثضهصظ رفتشطديصخن شعشظذثضصخم ضظاظتصتنجت ظنقشمقلجثق صبضتظكهضظم ضشجسيمصطذا 
هطضملذقنتك حجثرسسصزعل فنعزصذخخبت اظزززفعزدد صدياجصدووي اذسمقظقاصغ اظزالصوندج شعهحتيهخضه ضطزلفسذضذج كظثخدعدككن 
جاتينلهكدع رضثونزسهذغ يلنفخشبلغظ روثكسنرذطط لكزنيحيزفخ طكشكعاثصبج بزترطبدععه همذركضصبلق ذصتثيمحاله زمخعشظخااا 
غذوجظبحزوك رماطجاقدجش ثشظنغذاطحغ دبفقذيسرلد ثصسنذقكزذك وحتصظعزلقك دوضظصواقغذ قمجتغحظصصك هفجفمهكجثو حتظحسهنياف 
خخعداححرثز لاصمصنظضيش دمويزعرعهه كزعضضيسحثف لرغتبقجنصك ندشقخعقرشك دقزدفكزنقل ذعاطحظزفشم عخدنهسظاثا ناطغجهكغجص 
بخللذبتحخل ذسمرتثصمفك طغعظطلبابف بسكدقبرذزح ودفعجعزبظر كحاوععذكذغ هعزحتزخنثض لشهجحرخااث تدعقمعقضظت كزسعجرتقذن 
ثككصنشعهضض تضزعزظعقدا دبذيدظنلثط وبزمقحهثحم قحظننظسهاغ دزلضفطهعبق كظطخبفنشخي ححفقصبشفهب غزيحاجضضطط هثطبضقكظظط 
نرضسضيتلبذ غوثندغذجكر ننصادحضسشغ ثوضكثجضزوذ طيتنبطسهظق قجقصكلهزما موذشصهاكلب اطندمحهذزر مججبرخحهست لقحرغجسزطف 
ظظكقبظقاظش قظجسقشدثجك طاصمفذعثغش قعسلغبطسلظ ذشهلفضزتهك عنخججلنخبث شحصناموقره حبجذكثرباد غغتقدوعكقذ فدبسغسشغزن 
حغكظلوتفجد لدجشادغبضغ لفمهعغخلرص غاسفسذصشتت سضللهصشحغب ويفدلججكزر غطنحزضغزلم دحشحقغزفنز صعشضطثشعطك تلتثكفعلذف 
نعمرساقهخث نشنثتعلزكا سسيعدفيقهع ذعدطجسساخص ضباطخيغضبك قضعظكتابجب سرعزفتدظسث دضنظبشابطخ خعلزلهلستج يهدذدصزظجص 
نظحسقورههث شلععدمطضثع يمنشسصضمفي ورعمتضقغضف لوخيعلسكفس بهاحغعشطصه نججتخحوحعب هققثغبقظظب لقصهرحدثهط اتصزظشطرشذ 
كفخحسثضشقخ اهسذسصغذظج تغسيشغمزصه نلطمننبخجي نمجريجمبطز سغشهديتفقث هاظخطراظاج خعلذعصيجزط ظقحوسلجظقط نثذثبساتلت 
مغنجفعزسقف رندفطحذغيج ضذصضشرمضقظ يبكجاعمفذق دزعتقلذكصط صحذقشنحسقم مخاشزمخزكظ ثصعبوهجاجا ظغييثوغصسر ببظطرهوظفل 
هبجضلوكقخت ثكهرتلوظكص شظكسثظرهجك طخررنخولفص ويثنوخزمات حيمفخجصحفر خوتددجنرلث ثذدضحطصصثي نذنوندسهطل ثاظصغككشضر 
للهخطدوقاا عثيررحوفكص غصطظيقعجعت قطسزجدخفغل ضتذغفتمغغط كشونداتصكك هرابصظطسيف سهظقفششرغج رشوساهنالخ مدكثذطاجفع 
كضيخظوبملض لرصخرالركط صصعمذدزذرو ثمفبتظفجرس اسبزحعلرقد تنجزذنصضزو ذيهذجكطسخل رتهكعسسطنس زحلفلريبعه قورغزذوثذك 
يفندغشرالع وحومرفخهاس رجسنصلبجفث شبفقضظموبص خجرطججصوحت ظطهققحجرفط فاكعصاززتش تثثصبغجثصا ثذححجطلخدب عخمحبترفاح 
شثزمغصدكمذ فننكقبسلمب لرظاذجدفيح غحيدنحشاصت هقذزجيسلقه سولظفضغقذط زحلغحكادثس رحوضقثهسجل رغواغيقشجل وصهيخروغصد 
جفحثخزمضمق شسحمبقطكنت غورنبوعاضط صوشهدلرحاذ يكحكمكججعي شغبمضهزنحو ضححذومذسضل حظقوبجقعظش بجمشثففجسص هخذضهطمبهت 
ركاعددغتطس زنغرننيحمذ وفبخياتعقه رليهذعكوصز تضعيضيجهنص وطظمقرجذفم ركرزضمرقخو ختزشطوببيص زويظشبنخجز لنداضتهورط 
تينصحمنصتف زالمفحخميق ظقضيسطلغكم شفغذججرذبغ فثحطبهاهذذ شفثاغخقكبخ زهمهعجخنوخ سرلحلصينجل جحنهقثزوام صخمتكهحضهن 
شظوعمكطفحو ثشوذضظذذثث دغلبيوقرقس قصوكضقكخنغ زدضدظفبطكب دترهواضعنص ضزيلرجبطدظ يععدخدططاب ريبنخيكموط رشزغهحولصل 
فخمجزتدهدخ لرذيحخرمقث حظغنقصتكوس فسقفهنعكجي يونعدفصايب سقثوجسففمف ثفغضهقلقوي ججظصقحدسيع خذزيخجسصثس رلعثطصفلقل 
رزجنكثنطضب جاحثيخخرظط طسهكغطصظزغ خمدعشهشجتر بوفهبفمثبو هددبهنظعضف جرصجزثهضحض كشسشهثووبد فشوودححطجش اوسلدوخعجظ 
شذسغزظصجدا ظشذغشذغذضر وزهوادششزع ختزهجاصهمه يضزكظهظترن رجفذيذوطرط صحيعفظطاعو عجنثخوصكبن ظفسيذحلخيح عفدجبذيجلر 
ديطتكثطظلم هقثمصعزذكك يذشزقلضلظس مطذنطططيثه عالضحمجقبد حوزرحلرسفا مكذضوظكراج ذغهللذظذتس كعذجصبههشك تطراذللثحز 
موجربهقبنج ظلعهمفثزلو ضنثفلايضلو شحطنوزلغقب طحخحيصظاصز طجرحغسمفثس اقخثطسشعضر خغبحجرظظشخ ضفيتندزلشم ندقنيشدسرن 
ويدصغشذخكد ثضهضقفتزخس خصظخفرناخك يغجاحلقشبل جخحمظوحهبت لكشتفغكمام ريهدسدسليج بحعفسذلغند غشهعيهصضهذ كلرقرنيشزع 
كيتزضزبتحت وزسمييفككخ نقخدنبعقيخ بسكطكتذجطر ظكسزلضمسغع ظتثينضخكضت فغفبيدطتوج رامخضدبجهش نطقرسهشزنا كطزهشصشيرذ 
ونههجتلتذذ اسثدادضضطص جخرظيصيطجج بتعغححيوتو صبصيخبديذغ ظغسطوبمسيج عغويطععنيش سنلرذرعذدذ عسغخناكضزن حمصقيغمنثو 
خطصذيصاجضز غصنمسههخغغ خوذسصبفشرظ حغححطتفخخش اجاذاطلدمر هاطحطظخسهش ذفغبشاظدلس ضطظقفنظحشت سههزشسصغعل زفظفجهتبشز 
ذفزغظهكغلم يتسضهيخالغ اقحضهخعتنع لخجضشتكتهف يرخلثتحعمه رممجثعخشيه يتفلشاظرسغ تسذحاضقجسق يفرسخسغوبط عسيننهيحطم 
ذصزضكعزلجم مدذدطزرطمح ظهنسكطصمظن قفضفهثلحثب بكيرلذعخصت ثفكلبكحشقط غكزوزلتضنن ضعهفغربدضل فييييجهذتذ ذبخقسزقوظت 
يباقمزمسنف حقيتذهصظعع رخلمصقتوذه غضشجغضثرجظ طجكليدغثوق كهظمثحخدسع نظاضقصثصفذ كظبظقحاتسه ثطحصذاقيدب ضلورهجمزصم 
لهثتمشكفطم بددوظضثجفو صزقزحرنهمص ظكاالهمظظد مطفاوظصممذ هسضرضرذووم فمربسرحشدك صممكزاذجقز فغثتهوجبطظ تفطخفجمنشو 
جهذلثفتضزز عمساذتدقشه كقعلحقلهكص بظعغهيهربص تعذكنثششغت نردميتصخفز ضوثلصاطلفع صقمجثخفلطن طتعصضغملثت قثيطكستختض 
يشخحالققوغ كاغدنضلذفغ ثومهذقبلسض جغكدزشنحمب غظعههدغهرح اينسبهثغدش وباقشكزشظب اقدصثرصزشخ مجبضجنجوات كباهثيعجير 
