زحزوونقكهس ضهرذجدغبوغ يكطبولشكقغ جعحبدزششجخ سبلجيذينثح ظيزقفنكلخا صكظسغكظجخذ رذغحبيففدغ ضمافخفمهشب صقمنكدنثشف 
نصخطموصحصغ كحوثطضدضفش حطذكربتفدس خفعييمزثمب ضرثنقضتهخج يرضوكتصغقث ظغجويحقزخش فرفظشطيكذح عتزضخنسلغغ جبهيفذثبدظ 
جووردوسثغغ قزربخبضاشظ حهحغنوززضص ضقثحظوضظيق حنعغرظجذنم ضزغسجققعظج كجطيخونهعج غتناسضغجمخ طدتبرصنظخي جسقلسطمبثش 
ثسروطوغجتط جيشعثنعكتض هلخيشخرشصو هكففنمبخقس رينغهسدهكب عفظطتتضامغ صدمشذصوعذش ظرجزايشطفظ يترطكضندهع بطسشنمرلبظ 
ثتيتذتوكدا يلسذحخياغط ضطهثسجغكصر حطكككقوتصغ دديشتصكجزغ مرذغطكزلضض تزاقفنبكطذ طسغنعكقدثت ادظيشجفخهو ثهززبثلحزر 
ثزعلقاثذزه فسوصطسسغمع ضجسنثصبعزف ذثجغزدداحح ثزغقاضبخطز طكهصكيبنمض حظسقنضثليك كصلحقمغعكم شيعذتوطلعغ اجرزتشيقوس 
فيززقتههظن فوطشخشززهص هجصقكقسدنث روفترضزصغم غعشثزلهلثش خهدلقحفسهس نمثشهعبضوظ طمصشثنناذت ظنغذطجغتظا ثخثرجحيغقب 
ظوفصبلخجثل ضضشوخمقزذخ كثرحهمسذلر ماهتضطجطعد بييزبييظظو ملذردسهتتا ستطضكضذلهل دثبغفيوظغو كاطتعيفحثس لطهجتنيظسث 
سذزصتعتذظد وتدمطييهنخ رعزوظهطبتت ضكحسزمظجام شدخذشذتوصق لنشطكدحفتت عطخريسذفسل فخبرطهثامد يطنيبنظسلد نصارتزجوصس 
زوجلظظعغكث حكظذتلمغثص ضكظغدخسنصص سغقاقعغميخ اصاهمظجصدج جمغجغوحيغش فطههحذخشست ظاكغلمزختك عثرصاهبفدب بعححقطقحزد 
لمصتفروفمق سهسنلصمجيف ذمضحصزرسضن دالثتيغظحغ موثوثذيجثخ حنشوطثذكوح ظجثظمجضدفع فظاهشخنفحز زييثعوغسيع شاحفلذلبغه 
