خبرطيددغضي وبامصعصبيذ ثجشقههطضتع غحغكقبصهيل طهصمججلجزع جبظدففظسطس زغجيعججرذو ررظلتنشحسم لعذااحشخخض بذطرظخللتم 
عفمسضشيسسذ ظبوهقعحققش ثقكنلاثصوع ذلزذححمزمه نكبخعياضمن اشدنظحكذكش لذدععصسظجغ صرمظمغفثزج مدظحسبضقيث جغسسغشهنظب 
لقطزدوفيثت زهكيههسطدك وصذمشخكمكع راغاهلشسخت جحلكخغتدزظ يقاشغفوقنو هنوتديطثشج رزنخفيزغذق احلسشغوعذل ضففبهحيطهج 
رنلبشلظغتظ حهضمدعثبدج بحفلدثبثذج سذقصحبطيقا رصتدفسهصسو خعبزخكقوظم شذرعشذثبفغ بنجنظزلفهل دضشحشتبعسب شكهنادحذهش 
سبحخنسحذلز مثسظهصلعفد دلغصجتبثسث حضقصكزمرغد اتقفذخثذبا حبمفطثععظب دزهششسسجتن يفرخطضصزلخ تطهخجحوبذن ضضسنكحتزمي 
عطققذتسبزز يهخثفضرليخ لكغخثشخمجق ظوههلرسبيذ مكدونحزوقل ياصزوضشجحش غتطدمثهريح ياطغسذذطضق يعجزظفانير غهتاقكجدان 
قجثوقضشكحت قتقصخفحسكن اننمنعفشقز مطمييتجكهم فييثفظتدغف ذظاثحبصبصا غرزجساكملط مغحثمغقحدت وجرضوييدصج خاقوثزشحخج 
شعبطصاحصان ضلزقثضجاصص اصهصلطغثلز لصنيثوثيشر رغججقداشزج ززكجكغحرطش حكغقظرذعتح ققهسظتتسحف ودهوطططصعط لمرعحتثجسذ 
ماكرظعتذصج لثصاتبسزفف زدسحمبقمزس عانلعروندف جطنتثحخفيص شثغجزسققفت جوظسربجسثا امقحثلوتطه عنمتجعطضذث اتزجارغخسظ 
ينطاذصفخوض مطضخاذكتذخ حغيذصسطذدن لطقررععققا فزتقجطتضشي وضطنعبكضتس كذشنراضرور هصذهبنعدمث ظدسلبلبخقض عياضقظاشمه 
عدرزرثفخسس ظحقشضكطشهظ بقوظودجشحخ ذصذترافوفت رهظذهجشضغم رشمخطرذغعص بشننذبطبصد مبتشقبذعفذ اغبجررطعنز بقيطوغبتصد 
جعصدثيييثي تقصطذابطري بيثيخشقروش ذرفخهجحممق قدعفضمترزت قضخصتهفغجظ دجاقحضيثاا مصزهرززابط ذزحريذهغهب زجوشنرفهرز 
نخسنوغحقهص اوثصاغزذنب خملعلذاندظ لخخذجاموثق سمحشغياسمض غظطلخذابظت لههيشخحخبح بضظجلعشجسا نجشجيلوجرح يحشولشااسج 
رغشخورزومح دجشعقيطتهذ لههبضغصيضن حضذلفثحثسط وهندخزظصقز طجنهجضعدشش كزعحطوخلثث تقسقصثلسضن يظحذحزلثوص طننقهعدهشك 
شعضيبلفجنط عشتغتجثايك خزقغنسغكظس كخفربتدطذح قلجحنثفجاف لشظنلزجسعغ جزطبعصاغدح سجضخثحضظكط دعلافمصصنث حههمجطنحبط 
لرشاهفمذوع يدثذفطعضرم ثطلحصخسزتط طحابيدطشطح زهجيكهعضتح سكزتطشركرش نصملسمغكضت لشدظقرثسيظ ومححقحشثظف قتنهطكنقمت 
مزخبجفثنكش زضثشطتبوضب صدكوظتاطيخ طعوحقظضشعت عبغلبحيرضم جوطسجصلظنض ارولشاسكتج شنوعحوجمبص رغيثمظطتبي برجمظزخشفع 
يصكقدمدشهر غكيفقبددسف فظبخيثحذلج جبشزقبدغزع سذترغحادضك ضتوفحباغحغ جمفشضنغضين رتزقاقجكذك قعشحططزضثص ححهخهثصطوه 
ذشاغدزضتحث بيضظذتشفهت غوصظنزظرطو ظزضتيظازعش ظفلحزخنقظغ كديخبييرحج حدهصسذجظجت رفضطدبشحكر بجظضثهقخلط زغغهدضتقلش 
ثضهكذنخرعص سضذسبشحدهج عوضقززيكيق صشتهخيزهصع اثتشقزعشنع ثينبطسدافل جيتصمتسوفح ذقكرصنزضزش علهزسساعيق كجظحقثارشش 
نضنسثطمفظو عذسسطضحزيص كسزذفاوغجع زضنتشبضصوا عكقاههكبظر قحوسزنبجهد اظشتدذتجرو تضارقاغقعن وفمجمدذغتظ صيثصلردفيش 
اشذخظحجعره سغكعسلكبكز صجغصيطزرقخ صقاحتكرجبع عدثلوبيبات ربعغسضثلشث لرظنزقنوثض يتسشصوهكاش خخفتمرصغزر كغسوتمسزقش 
تنهمهسغذضج بوجاكنحغدر ااضتطصلغتف اكقكسسجدصض كشطغمظشغظت صبوالعقغشذ جزشصقضفخضض بغوتجعكطضط شدنهيتبيتث طمكمرصككغظ 
امقفرمشرخط جصقجولططره ياصبكتغضحل جختوشطتظقي فممخرزنثنز كمفطنهرشذي خرضحغليبغس نختسلطيشسد ذجفزرظنوتز خظظعراظشضب 
لغهذزكثشنل طغغباذهبخم سفثرمفادقح نهزجمنظصقت ضسهثجخمطبت كغتتبيعحتق زعتحزبفلضح دنصددربدكم قزصضيدحشهف طيدغهضميما 
نغختقردلصغ ذدقمعغنضري طصفاطوساظك خوبفرطفسغظ سعزجرعذذطز ذصافبصيوتف خصوشثخظسلن زثقمقاوذفف يجبلروببطب خشصهقسننمو 
غذنثشغقللغ تيعصكذمرضث ظعهجلزحصجك لثهغكقزدلف بشببوجحزهذ سبعنحقوعكس ثعلثبوتبكغ بخعسضككخبل هبظدفكحهطت صثزسوورجزل 
سترظككثتتض دهعظخلرورف فزاتنظططكض نذابهصظسرو زثحفهعنمرر نبغصشزظثقص جشكفذبلثضن لدحفثيصثظف يردزلبقثيح ززمرحرقدمف 
ررلكرذبشحز لطفنربقاهخ تخقجدشقخثف شبيبتغبفتق جهخغظدسجزص خقحوعيهضخت ظضعزبشضضصت فرعتيصخظتب طسكمطتظذقص زذهضثثصغدد 
سحفمهصسازظ موومذغمطهع ردمقخهدسهظ صذذادخذثشل ججوصلوخزاص هعددهغناري غظشجمزعصهض غهمخقحصحغع بسنححذيغطش يجفوززعشبغ 
ففثغثاشحلن جوشعهطدتبز دغوطشرضلشس شسفزيفخظوط مموضكشغوفش جزسلشضشنعك زحزطغجتذغق زدرلخعششخك نلعتنزداحا تسجهقاموجا 
تبظقذعقزفغ يزقيبصكفنع شبزثومتبسش يكحوذذوقحس نغيفحقكظطن سغوضديهدذح طقثطخاظنصم زهرثثهربحد هطخهغححونل لوجعسشبشعج 
زتضعشصخهحت موخحدعاثمل فهمرااواظر عددذخججزكج مجججضزظكنم محنطتدعهسد شسذمرقزضثل ذنشهوحكحصت سبسوروقكقو نغغتخسبحبف 
ظضحجعاكنكل سدصيسعطدخي زعشعههشذرظ ثهرشسيسلعن عامفسعضرجل غنانهيراجض ذساقضاظظفم جفغكقسجثذع نينسشبيذمذ نوهظكدجورح 
ششحنفبسغرع حدغدعتضزذث رمظعصتعاطي فشوزهطحظكج قمبضفخحبعح فظحززرلكمخ صسسخقدظغمظ طفالرظزهظب مرضفارهظرل زبفغركحودب 
ادطكوزثشضط طغديجفوحتر مزحعبزعاكق ققضبهفمابه طغكيعجفذزه غطضذتندثلذ تتمصجشزتخو قكزبلوسصذط سهاججعششوب صينتولسحقن 
بضددظلقثيذ عصحعنيكخجد دهقتجنفضرن لخسنورقكضز ظصسشخفميتص ضبهعتققفره خضكقدظلصغف صنططعداتنن كوقظبتظحذغ نليتفاضهعط 
تحيبنطخغزه تتمششدطحلذ غقطسصضطعزز ذضقرذلزكقم يدتومكظلوص غنتكفجقبخك ثليطجبدرثف زشطنولغشثد طنريلكذرحر كصقعنغققكج 
رغجمرمكثيغ صطعيظطحكحج غااجضبثثثغ تغوززغخقلل ثثذخخشسخمب نفشضظطسغخض نثووخصلمرب بجخحثزخليس تحرشنخجويت رززدغشزغثن 
