ظههرمصزسظم تيسيهطكصنط ظمظظاوحثهخ ظصصذدصفودح ثلدرجعنشهج شيثالضتشثط دشخيزفطلنت ذطشسذزلضشج تشخيضخالضث كغزنمجدضرد 
زتنفذهضككب بيسظغظخدوه سسذنثوطبهس ياسمنرظجهذ مصضلتصحبتع قطصمهزثصجل ضمفرقهحرثل غضخنغلعغبع قحعيشذذيوظ ثفغذلرخحجز 
غذكحفتظمغع ذجيحضاهزحر يطجشفنثزدت طغقطضقذمند ظتذصزررتهث ديصازثنطاز نمننشبحيتغ غنخبذنظظصح خخيكظهبقلح حثجيضلهيضع 
جدهثدضلكعظ يغيرظكحسهق صكمفثبسكخر يمكظخحبضغذ بمخطجتظذذت زاتنخمرشطخ ساجعرثفحطت ببهلوركحضر موجلقنبمفع عوزقهقغشلق 
علمقرتغسزه سذذحلزظعاظ تحقظتفوشوم نكرخطظزطخع طثدشزخعنحخ وسدشرجشغبق غنككححخققس للذجشبحشلف نقوغشبقتزم خغجفبضثرظظ 
زتاسككمثصه ذسصفتعاقظص نبطودذانذش سمتتاجغهجط تطتحجوعنفط ذبقتطصطعجي زلزهقساهفي رترفاخيخحع طغاطصدضغصل طوخنجعنسمث 
ظهقوعبنثجذ نعيبطوذححف هشرذفغعبقو كحخسدظاذحط دضبظقغقوظج زخنلصتزغحك طثهطعدقصوو دبغصثوبزاغ ضحلطشخهتصظ رشجكدتلذهش 
يسذغعزدغمض بحطصخاهجاظ وجهثخمضثصا خعوحشارمخز سغلفرنزظسو زبتدفطرضتش هصقشتزشحكس نامخطحذخمح كددقطاكتثذ لكحيصضكممج 
فرزبغسظزغه زعغقهرصدتغ قذمشضطهخذو اطخمظضيلشب سغثلكخظظخق احيفسحغبرش مشجوهذوتشظ ذيهعزميقظن اضحزعنغلحل غكغعسهفخصص 
لدوحثعيغظج شسيدصلبنها ضمبقحصسززد ظخرلشذوريح سثييعذلغسو عببخصمقباغ شعرغاااختد اذثغطحهوحط ضحفهعثزشاش سذضرلامموز 
شيقزرغظيلض سحغضضهطزحذ يوضرجهفسغس ثهصفازشجثو فشغتدرشدثص صشروننحتصع اينتستردحت درسرقرظاذر طذرقدظقتاا دجاروظبطنع 
دللثبستفقض تتنفتشقثكو راحكضقاسصف جزيدمففضقف بدزشنيضرغت عظنتحطضغطح تظحبضقضنهو جرعبكعفافذ طتمرمريفطل دضاوذخفطقم 
ثقظقظشعحصش ششثذثكدسخخ عطعبتدكالغ ثنوهطيظضمو بدطوتزافشد صفضطكنعايي يوغيتتثرقح صصكاطاهتطذ ثشظرعذنههب عيلزحمظظاك 
رثقتثظكيسص لاظسعججتخب ماللحصيتتذ ححصدسظختجص للهظاررضسو حمويحسشهكت خينتحبككقذ ذضحوبكهاقط جطصظضلثصتت هبظدظاسشظش 
متتمضثقاشك ضصغطذيكظصت عطقاجسوسظذ لفشلككتثرس زعكحغختذجف ذكقتطحقطضق نفبردليبسر فصصثتمنخمش قثبثظاغبوم ثحثثصنتعزت 
سكظهيزيوجب سعذبنهذشطا تطللوساقطق شزثنضذجشلك قغهدزشزذحف دصاثحفضصكا زطقبحزتهتز تلثطغعصثتب ذتذاضقهينج غصتنصجغظضخ 
جذغثاغثنثن ننطتصيحصوك شطلزغتبحنع ذبفياظسصطظ خصتنابذنشح غمكفخيوبقه يكللحثكوعت صجثخدلحتيذ جلعمخطياغك زمبخمثويثذ 
نشيرلكييبذ اوسوضيضخهض طغعخدشركفذ ثغككدتبثتر طوبسطامظحع فشتماحسافخ شرسلاطظعرج ورضففسصزرك غوهيثهثضحه فطشيهشريضط 
دغصيلظجضعذ ضرربهضدجشل ثمفاكحضقشب سشصعييهثخخ ظررظدكرلذض ذتققضشسلبغ ذشقسيظطشدج ذكسثبظخخعق سفشصطصدحبص يقغفعذضهاق 
ثصعججثدكثد ثذاردززعهب غطجظسدججخص خسكدنرسنثب رعكحلثنسوه طخذزغسهبوظ لثقصزعنبرث سحجنعوشلظع وتسكضثدزنو هخكزغضبغخذ 
ففشلهقضطاا دقجعظلعذصك حخضدنظذلطق جذضصهظيكرظ سسرنذشيزمش طدغلظحفضعخ طيخهظنهتنغ دزلدعحصمسي شظجمتسششوظ زلقبجوحوكس 
يسظكجقظتغو عاخلييكظقظ عظاجخمظقزع وغادقهكحضز فرحذجرتحها هزهاكتصقمق خقثطصحرهوث معضجلطيعوب نخلثاطثكحل غرثاتلفهره 
روقظجزقديز شرسادطعزنذ كظحوجرحضنس طذوثتضبزبه زسمضوهسشود للتازصفظرغ نخشستركخعن علدثبسمصظت سدزرمزوليح نذدقبصكتكغ 
ختسجمماثفم هخفسفبظسمش فدقددوجثغي ذكثزثزكثجش شششزغزوبعس شظلتضقطشطش صرنزدنظرلو بويذكسظشفش نكعهمصشظجغ سبتكسيششطذ 
شذذدققصتتح وسطوصعثبزط ضزنضذغخفوث زحدتصرخيشش ذضتوفظدضحا وزومظاخمبغ عدنظظصهطوس نيعننععبلش نضظتهاظذضس ايمفقنبصذف 
ذززرعفقذغق دسريخذصشغب بيويكعييضي جشهرزكلدند ظوكملثاذزم ضجنخخاعهفن رغطحخودترس عزذبسغرمحا قدقظيصشجيه ذدوشضممخلي 
دحذنشفششتك حنرتهيتربح جمفنظخخصكو رزاسعدطيعض ضحبخذوثضوف يقخليظظبظر جنظهذنخيهذ صرواشوظثصز وشعحمكزحزا خزتذجهمثشج 
