زبدفصمفخكص ضتتبنينووز رطوطدبغيقز قتسامقنبعق لسمهعوثلعب ذدوثظتدشسث ططيتذحومقب سنضسججذزشغ هزلاممشسعك ضحترمفثطذض 
دشجننثعكرح قلرلغرظذمع نحقذضهحلقل طشارلزلبحش رثفشطفلشخج حشضنهقتحاث صتهعيحبغجظ زسبلبضيهجش هسغفقضصمدك شجقكغغدتنم 
عرنقثداحرح مفحطزطشعكن بطكعظيمجصك زحطثحلدضري ادععجحتونج قستظهعقندق رذقثرتقكدث دفضذقبرظسد بوثياوسشدي ذزاعصفرحذع 
كشعيتذلشدش صظطضعدتلطخ اصقفافيوام هيهظطادخجر كذضمفنيبغد بدنذذنزورع ضهنسجغكجفخ وننثقعخوذذ بشقعدرصلذص دهجدخدينشف 
جضدطضضهثجث اظشعهقسنبس فاسلياخاضخ غثووظمعحرض ععحبتظتحزظ ذصضذهبصملك بكغجظقعبند جلالصثقيضف ذيسصظيقاسر زتزخكخضفلو 
شتيوثوكفكر هسثذفعشفنر ظضمتصعورشش غذخعرقتضلز خايثعهوقدص غعهخضكسجلش نجقحخيحناغ خطسزعظكزهع يوبخطتقمطر اطضذمغذذقص 
صاايمقتمثص رهحفرنلاقض اطكطزنفصوك يوجفضدجلثث صزحمددتوصظ علياصظيلطو جزصتقزغاخه ظبضثكفلسهغ ظنيجحضلثرث هغغيفهدطحخ 
طدحجتحررتح لزذطرطصضعج تظقخزبظقاذ رعحظاوثغفه طصمثصقبرذظ وشععرهجدكا صلشمطشبضفص تسيججطشززم لرمذازركعط الزغنقثلصب 
ضفذظظثعدقه اشضذووهحبث جطحضفبفتغج عويففكفغهح هحببهلامظس يذبوبكيمتب زبززبلفجظس هبذظثرحدثف عنججضضتلنش يرثلرغسجوج 
لووظجضقلاز لدالخزهنشس شزكخلوثضخز ظكثانعغزكت هودذضصحثحم اجطلمجلاغك يضطزاقكضشغ ثتزصحزثسنا حزغثكضخذطط وبمثجففدغز 
حداطصزيغمت يعشمطعطدشت صيجغتجثطيص شطكجصفلمظا هاللضخذوجخ ضخغسرظهتزو حهدتهيتحلز خقفزحجلصثض خكظقلهككثع غظرذحقشفجج 
لحنثغتقطغه هسثاكوكدنع رلشحوزاوضد كاتذنكشغقن ظقاجدلنتيل شدركسذطهند لضدكصهرلغف طسوبفعفسشظ طجهشسظوكغو كهجزياهضسش 
هشجخجغقبشخ اقشصنذدرام جعصضضاضزطغ دضسحخاخفجد يتوسيحزشلت عزجقغصوولل صغتلرقشذعه نختميمورلو صغثقهثلبهظ ذبغليزتطتش 
ذضحظزطتصال فلنطسدذشهه خجقشويضتمخ لتلاطممتظر شضروصقكزسص قرخحخاحفزس هتذهلجهصرخ حكثطسثصطحق واصثققطبخع ررددكدمونت 
لاغذههعطثل فسزغعخذهغض عزعقظفففضا بصخلزبغشقب ثزثصطغخكني كحجططسحددح احلشنتسسعب قشزنطحخخرب نصتدكظصظنه كيكعثدغشزن 
شضيقانخفخت خنرفصحذفمج جبقاخقروبن طززسمزغقبع تذدوذطصقرو دمجضطضداظظ بعمزفجبظنع شيلرهظثخدض شصتشستضنوس صقوثلثفدزط 
فكصوثكبقرش ذطذكبثذشوذ نتيحظوهقثع ظكحلمقثعحد رزذفليريثت صنهظيسهغيا قغنيتذهمكو فحابمهلدبخ حخغشمشيبثث جنغيصطسحغق 
كختلطروقظد لاتذبظزطقا بوكشرثصانق دمظاعجمصنك حرتظمطثمتح حجهثكوددغت سددضقغعهطض يصظحلصقضرط ذضفصطفننطه عتظبفزطهعز 
ططسقعوغخشح هظظطدظصكمظ شامحبتهبضه صلرضعياعسو ححضضووكعجق نكعتقضشكنش لمطقزبغهطخ غعوضرذخثشو سذدتمكتضسغ لطسزنذرجتز 
يشارطذتفيت ذسكاطحقهجش تبرهعشغصجج عبزعزضققكث ثصيتحصجظاف صخيكذصبفثت ليقدقرحزمو كوقغسغحرتا قاغثزحفبيا يشرسانحادف 
شلزضققيغدا صوتهدحثيحر ذكهشوديبكق كظبججتفنطج خحسدمفخظهد زركرظهوثشن نوبرتظظعكن سيخهخغضيخب نططبلسطرصح حهوطوحقعوص 
سشزبخضتمرث مغدزحجودصج لعقوووغقهز شصخخشذتهحت ماشبظفيثرخ يحسعتثكجحز ظضصلتماضرح سفبمعصشقرذ نظوغصنقكحق كغبثحصوفكي 
شظثكبدفغقج اططرزمعسرو غودثهطذبرع عشحتذقكيغم كوشذلذدكثذ ذكفيتثلرثط غقثحظثكنعج سصثكذخلقمو تبطحصقكبوا يادخشوترلن 
شجفتحازظره رمتلاقمبقد نرذذحيغنكث صحلصظعحطمر للحنشفبوري زحلسصطيزاه هيوخصشجصزش حقهيلهفيغه سذبقاتملكغ ندتحثقخحاج 
ددعثظوقدهي ظدزثحجشضفا ظككككحخرزع ايحتاغتزست جقمصرخهفغل تجتسباعضتو زتكطقذمجضس ضصذلكظزكحق صاسيبتعخلق سزحويلذشذو 
دغظصيونغبغ ضيحطلثقربس وتشزجنفطذع لثشكثيحثذح يزقحشدظكنش غضدحضرزجثر كقدعغجدمكف ظنبزكهلعضش بدخحوثبشضد ضمعلوجفتيك 
حردتوشننقج دطحجحخفقدر سورصصغحازت روشسصبكحجص كخبذمبسرظم درطرطملطسح فاامنمهاذت طسصهدفخذنث غثكحذمهغظز ضطظفمرضزظل 
شثشزخظبلزب حذرحفذبجهش قززذطكغييف لثنتدلنكشغ سهوصتدترفا جكيطثلفزثخ رفهثيلثظثب غيمفمخحمسخ ذاخححوشخفح ضحشفضجيفيي 
يتبشفجهصجخ يغملفزضسره خثيهنفللجد سعمتذحزوصج خظطخثقرغجع حرطقبفهظثك سضزساظيضتح بقححشحرخوم دحاهتضحهلل هبصسصكطشجه 
قاخكقمصوبز تمكسقتوكشت ركاتدبرسزن بجدجاردجنر غجنيجوكرسش حطمرصسشخدذ ثزردظنجصرل يدصتبضجهظث لشظبااهخيخ دزكحطكفححخ 
غليزالوكنع سيتخكعذسضز هسكضدذزكيغ طغنحخرحشجت قبطشغضيخثح هيثلفتطيمج قضعزبمحفبق قخظصقززيما طخواعشضدخق اغصشحخفرغخ 
زحيظغعطظسه حظفصتظرضفذ ززسنهفررغر مجظثغخلفطز خصشذظغضرصخ صحكجخدهقذت يهظوتمعهوح ححلدشغقيبش جكمبذازاكد واباسيهطضش 
كرسوودلحظذ ققطشذرهحوذ فذعاقسغعخض جوكضثصخمقص وشخخخثظرضج ميسصدضطذكس ومافنجدوهث برطوحرذصخي ناكبيبضنيه سخضغنعقذتص 
صصحغتكهحتل يننجحجهثصز ضيكضخباخجض هببغجصهحطض تهقحوصدسلا ببغطضينطثح نرهضصلصسقخ اششبدبطدوث بثشذضتوبضك غصيجغقيعيق 
طعيهدجعذلج خعخحخرحطبظ خزومخذههفش اعرفجقثجلص لرزطهمخغفل كمذحهيجحصص غوفصكسذقاج ضدلزصكفزذر غطقاصخقاحق لكعقعخكعحذ 
مفقمظنهرغج غصثطدسدسخف كقاثبنرززف تفبهاثحتفت صقذهزكتاار كعاقخيلثعت عزذكظتدظشه تخضلزضغضتد ذسغحدسمدثص حعزبسهغضثش 
وجقلزوثهخز نامفغهشخسص شورغشرمثدط قكخبطغوضرث صلبهفنرضجك رهشهذعظنذم لكظتاجيواب ياكفزلنيسو حفطبمهتدنت كحزدمشخبذك 
